name,parameter_id,"case rpm.required when 1 then 'YES' else 'NO'end",sort_order,step
"MO - Pago Seguro - Solicitudes - Detalle de pedidos aceptados de pago seguro",88,YES,0,0
"MO - Pago Seguro - Operaciones - Cantidad de operaciones en cada estado en un rango de fechas",89,YES,0,0
"MO - Pago Seguro - Operaciones - Detalle de operaciones de PS filtradas por estado y rango de fecha",89,YES,1,0
"MO - Pago Seguro - Mediacion - Cantidad de compradores que solicitaron mediacion y el vendedor no respondio",89,YES,1,0
"MO - Pago Seguro - Mediacion - Detalle de operaciones de compradores que solicitaron mediacion y el vendedor no respondio",89,YES,1,0
"MO - Pago Seguro - Solicitudes - Cantidad de pedidos pendientes de pago seguro",89,YES,0,0
"MO - Pago Seguro - Solicitudes - Detalle de pedidos pendientes de pago seguro",89,YES,0,0
"MO - Pago Seguro - Solicitudes - Cantidad de pedidos aceptados de pago seguro",89,YES,0,0
"MO - Pago Seguro - Solicitudes - Detalle de pedidos aceptados de pago seguro",89,YES,0,0
"MO - Pago Seguro - Mediaciones ",95,NO,0,0
"MO - Facturacion - Perfiles de usuarios y rubros detalle",64,YES,0,0
"MO - Reporting - Control de cargos generados",64,YES,0,0
"MO - Reporting - Clientes en limite de credito",64,YES,0,0
"MO - Reporting - Reporte de cargos",58,NO,0,0
"MO - Reporting - Control de cargos generados",58,NO,0,0
"MO - Percepciones Recibidas",45,NO,0,0
"MO - Percepciones Recibidas",52,NO,0,0
"MO - Percepciones Recibidas",55,YES,0,0
"MO - Percepciones Recibidas",43,NO,0,0
"MO - Percepciones Recibidas",44,NO,0,0
"MO - Percepciones Recibidas",51,NO,0,0
"BAC - Pines - Exportacion de pines",73,YES,0,0
"BAC - Pines - Historia de un paquete",73,YES,0,0
"BAC - Pines - Listado de paquetes por retailer",73,YES,1,0
"BAC - Pines - Listado de pines",73,YES,0,0
"BAC - Pines - Historia de un pin",72,YES,0,0
"BAC - Pines - Listado de pines",72,YES,0,0
"Shop1 MG - Historia de una orden de compra",114,NO,0,0
"Shop1 MG - Ventas / Intentos de pago",115,YES,2,0
"VXV - videos-de-un-usuario-micrositios",65,NO,0,0
