SYZQ8,Emission Neolane Mensuel - ACFR   
SYZQ2,Reception - ACFR - SITEL CLI  
SYZQ3,Reception - ACFR - SB/CS   
SYZQ4,Reception - RECEPTION - ACFR - GDO 
SYZQ6,Reception - ACFR - NEOLANE   
SYZQ7,Emission Neolane Journalier - ACFR   
SYZSGO,DEBUT BATCH SYSAME CONVERGENCE    
SYZ1X,Emission Neolane Mensuel - ACIT   
SYZ1V,Reception - ACIT - NEOLANE   
SYZ1W,Emission Neolane Journalier - ACIT   
SYZ1I,Reception - ACDE - FU EM ORPHELINS 
SYZ1L,Emission Neolane Journalier - ACCZ   
SYZV8,Reception - ACRU - SITEL CLI  
SYZ1A,Libére la ressource     
PRUEBA,borrame       
SYZDZ,Reception - ACPL - SB/CS   
SYZDY,Reception - ACPL - SITEL CLI  
SYZDS,Reception - ACPL - SITEL VRM  
SYZDQ,Emission Neolane Journalier - ACPL   
SYZDP,Emission Neolane Mensuel - ACPL   
SYZDV,Reception - ACPL - NSID   
SYZDU,Reception - ACPL - SAGAI   
SYZDT,Reception - ACPL - FICHS. INTRANET  
SYZDK,Reception - ACPL - AO   
SYZDJ,Reception - ACPL - ARCAD   
SYZDI,Reception - ACPL - DIALOG   
SYZDH,Reception - ACCZ - FU EM ORPHELINS 
SYZDN,Reception - ACPL - ARCAD V2  
SYZDM,Reception - ACPL - AI   
SYZDL,Reception - ACPL - CPP   
SYZDC,Reception - ACCZ - SB/CS   
SYZDB,Reception - ACCZ - SITEL CLI  
SYZDF,Reception - ACCZ - NEOLANE   
SYZDD,Reception - RECEPTION - ACCZ - GDO 
SYZD9,Emission SAGAI Journalier - ACSK   
SYZD8,Emission SAGAI Journalier - ACHR   
SYZD3,Emission - ACDE - Neolane Mensuel  
SYZD2,Emission Neolane Journalier - ACDE   
SYZD1,Reception - ACDE - NEOLANE   
SYZD7,Emission SAGAI Journalier - ACGB   
SYZD6,Emission SAGAI Journalier - ACDE   
SYZD5,Emission - ACDE - Reporting Mensuel  
SYZD4,Emission Reporting Journalier - ACDE   
SYZFTP,Init Sauvegarde SYZ - Mount DB  
SYZCCR,compte-rendu       
SYZ6VF,       
SYZ7A,Reception - ACIT - FU EM ORPHELINS 
SYZVL,Reception - APSI - SB/CS   
SYZVK,Reception - APSI - SITEL CLI  
SYZVE,Reception - APSI - SITEL VRM  
UVS07,Traiter les vérifications     
SYZVA,Emission Reporting Journalier - APGB   
SYZVC,Reception - ACHR - NEOLANE   
SYZVB,Emission - APGB - Reporting Mensuel  
SYZSYDT,       
SYZVZ,Reception - ACDE - FU EM ORPHELINS 
SYZVV,Reception - ACRU - CPP   
SYZVQ,Emission Reporting Mensuel - ACFR   
SYZVP,Reception - APIT - FU SOCIETE  
SYZVR,Reception - APIT - FU VEHICULE  
SYZBA,Reception - ACDK - NSID   
SYZ4I,Extraccion MATRICS      
SYZR0,Reception - ACSK - FU SOCIETE  
SYZM9,Reception - ACPT - SITEL VRM  
SYZBE,Reception - ACSK - SB/CS   
SYZM7,Emission SAGAI Journalier - ACBE   
SYZM0,Reception - ACSK - FU EM ORPHELINS 
SYZM1,Reception - ACPT - ARCAD   
SYZM2,Reception - ACPT - AO   
SYZBD,Reception - ACDK - SITEL CLI  
SYZXW,Reception - ACAT - FU EM ORPHELINS 
SYZXV,Reception - ACAT - FU EM ORPHELINS 
UVS01,Gestion des logs     
SYZBI,Reception - APPT - NEOLANE   
SYZBH,Reception - ACDK - NEOLANE   
SYZBK,Reception - ACNO - DIALOG   
SYZ6M,Verificacion Batch Objetos Faltantes    
SYZ6L,Evide check      
SYZ6N,Reorg: Database      
SYZ6I,Monitoreo de espacio y objs. inval.  
SYZ6H,Sauvegarde HIRECEPT & HIENVOI    
SYZ6K,RAPPORT MATINAL AMOA     
SYZ6J,Backup dollar U     
SYZ6E,Monitoreo UNXENVOI      
SYZBM,Reception - ACNO - AO   
SYZ6G,Estadistica de TODA la base.   
SYZ6A,Monitoreo del alert de la base oracle. 
SYZ6C,Rapport Matinal Fin Batch    
SYZBL,Reception - ACNO - ARCAD   
SYZ6Y,EJECUTOR S00      
SYZBO,Reception - APPT - FU PARTICULIER  
SYZ6U,Monitoreo de undo y sort.   
SYZBN,Reception - ACNO - CPP   
SYZ6Q,       
SYZ6P,purge des logs     
SYZ6S,Sauvegarde environnement indus     
SYZ6R,Reorg: Database      
SYZMI,Emission SAGAI Journalier - ACIT   
SYZMK,Reception - APSK - SITEL VRM  
SYZLNDO,Lanzador Domingo      
SYZX7,Reception - APTR - SB/CS   
SYZMA,Reception - ACBE - FU EM ORPHELINS 
SYZXZ,Reception - APTR - SITEL VRM  
SYZMX,Reception - ACBE - FU SOCIETE  
SYZMY,Reception - ACBE - FU VEHICULE  
SYZMZ,Reception - ACPT - DIALOG   
SYZMT,Reception - APSI - SB/CS   
SYZMW,Reception - ACBE - FU PARTICULIER  
SYZMS,Reception - APSK - SITEL CLI  
SYZ1AS,Libˆére la ressource sa    
SYZR4,Emission Reporting Journalier - ACHR   
SYZ1AT,Libère la ressource we    
SYZR6,Reception - ACNL - SITEL VRM  
SYZX6,Reception - APTR - SITEL CLI  
SYZ1AD,Libˆére la ressource do    
SYZZ4,Reception - ACSE - SITEL VRM  
SYZRQ,Reception - ACGB - SB/CS   
SYZRP,Reception - ACGB - SITEL CLI  
SYZRU,Reception - ACGB - FU SOCIETE  
SYZRT,Reception - ACGB - FU PARTICULIER  
SYZRV,Reception - ACGB - FU VEHICULE  
SYZRZ,Reception - ACNL - CPP   
SYZRA,Reception - ACGB - ARCAD   
SYZRC,Reception - ACGB - CPP   
SYZRB,Reception - ACGB - AO   
SYZRD,Reception - ACGB - AI   
SYZRG,Reception - ACGB - NEOLANE   
SYZRF,Reception - ACGB - CPP   
SYZRI,Reception - ACGB - SITEL VRM  
SYZV9,Reception - ACRU - SB/CS   
SYZRK,Reception - ACGB - SAGAI   
SYZRJ,Reception - ACGB - FICHS. INTRANET  
SYZRL,Reception - ACGB - NSID   
SYZRO,RMAN DATABASE OPEN     
SYZI2,Emission SAGAI Journalier - ACHU   
SYZI3,Reception - ACAT - DIALOG   
SYZI4,Reception - ACAT - ARCAD   
SYZI5,Reception - ACAT - AO   
SYZI6,Reception - ACAT - CPP   
SYZI7,Reception - ACAT - AI   
SYZI8,Reception - ACAT - ARCAD V2  
SYZI9,Emission SAGAI Journalier - ACAT   
SYZNG,Reception - ACPT - SB/CS   
SYZNF,Reception - ACPT - SITEL CLI  
SYZNB,Reception - ACPT - SAGAI   
SYZNM,Reception - APPT - DIALOG   
SYZNL,Reception - ACNO - FU SOCIETE  
SYZNK,Reception - ACDK - FU SOCIETE  
SYZNJ,Reception - ACSE - FU EM ORPHELINS 
SYZNT,Reception - APPT - ARCAD V2  
SYZNV,Emission SAGAI Journalier - APPT   
SYZNQ,Reception - APPT - AO   
SYZNP,Reception - APPT - ARCAD   
SYZNS,Reception - APPT - AI   
SYZNR,Reception - APPT - PPP   
SYZV2,Reception - ACRU - SITEL VRM  
SYZNY,Reception - APPT - FICHS. INTRANET  
SYZNX,Reception - APPT - SITEL VRM  
SYZNZ,Reception - APPT - SAGAI   
SYZN5,Reception - APPT - SB/CS   
SYZN4,Reception - APPT - SITEL CLI  
SYZN6,Reception - RECEPTION - APPT - GDO 
SYZN1,Reception - APPT - NSID   
SYZN0,Reception - ACSK - FU PARTICULIER  
SYZN2,Reception - APPT - CUSCO   
SYZ2I,Reception - APPT - FU EM ORPHELINS 
SYZ2K,Emission Reporting Journalier - APPT   
SYZ2J,Reception - APPT - FU EM ORPHELINS 
SYZN9,Reception - ACCZ - FU EM ORPHELINS 
SYZ2L,Reception - APPT - FU EM ORPHELINS 
SYZIP,Reception - APIT - SITEL VRM  
SYZIQ,Reception - APIT - FICHS. INTRANET  
SYZIR,Reception - APIT - SAGAI   
SYZIS,Reception - APIT - NSID   
SYZIT,Reception - APIT - CUSCO   
SYZIU,Reception - APIT - MATRICS   
SYZIV,Reception - APIT - SITEL CLI  
SYZIW,Reception - APIT - SB/CS   
SYZIX,Reception - RECEPTION - APIT - GDO 
SYZIZ,Reception - APIT - ARCAD V2  
SYZIA,Reception - RECEPTION - ACIT - GDO 
SYZIC,Emission Neolane Journalier - ACSE   
SYZID,Emission Neolane Journalier - ACDK   
SYZIE,Emission Neolane Journalier - ACNO   
SYZIF,Reception - APIT - DIALOG   
SYZIG,Reception - APIT - ARCAD   
SYZIH,Reception - APIT - AO   
SYZII,Reception - APIT - PPP   
SYZIJ,Reception - APIT - AI   
SYZIK,Emission Neolane Journalier - ACHU   
SYZIL,Emission Neolane Journalier - ACCZ   
SYZIM,Emission Neolane Journalier - ACGB   
SYZWL,Reception - APGB - FU EM ORPHELINS 
SYZWM,Reception - ACDE - FU EM ORPHELINS 
SYZWJ,Reception - APGB - FU EM ORPHELINS 
SYZWK,Reception - APGB - FU EM ORPHELINS 
SYZWH,Emission - APGB - Neolane Mensuel  
SYZWI,Reception - APGB - FU EM ORPHELINS 
SYZWF,Reception - APGB - NEOLANE   
SYZWG,Emission Neolane Journalier - APGB   
SYZWD,Emission Reporting Mensuel - ACDK   
SYZWE,Emission Reporting Mensuel - ACNO   
SYZWC,Emission Reporting Mensuel - ACSE   
SYZWZ,Emission Reporting Mensuel - ACHU   
SYZQSR,Reception - ACFR - Reprise - Particulier 
SYZWW,Reception - APRU - SB/CS   
SYZWP,Reception - APRU - SITEL VRM  
SYZW6,Reception - ACTR - CPP   
SYZSTO,Init Sauvegarde SYZ     
SYZSTM,Init Sauvegarde SYZ - Mount DB  
UVS02,Reorganisation online      
SYZ7F,Emission Reporting Mensuel - ACIT   
SYZED,Emission CUSCO - ACDE    
SYZEE,Emission CUSCO - ACES    
SYZEA,Reception - ACES - NEOLANE   
SYZAY,Reception - ACDK - ARCAD   
SYZ7D,Reception - ACIT - FU VEHICULE  
SYZ7E,Emission Reporting Journalier - ACIT   
SYZ7B,Reception - ACIT - FU PARTICULIER  
SYZEI,Emission CUSCO - ACIT    
SYZEJ,Emission CUSCO - APIT    
SYZEK,Emission CUSCO - APPT    
SYZU3R,Reception - Reprise - ACFR - Contacts 
