SYZST025 ,"  uxlst upr upr=SYZST025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZST025 ,"Post - RECEPTION - APNL"
SYZST030 ,"  uxlst upr upr=SYZST030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZST030 ,"Correction Adresses - RECEPTION -"
SYZST040 ,"  uxlst upr upr=SYZST040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZST040 ,"Alimentation - RECEPTION - APNL"
SYZSTRLS ,"  uxlst upr upr=SYZSTRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSTRLS ,"Libére la ressource - RECEPTION"
SYZSTU89 ,"  uxlst upr upr=SYZSTU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSTU89 ,"Poste de fin - RECEPTION"
SYZSZU09 ,"  uxlst upr upr=SYZSZU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZU09 ,"Poste de début - RECEPTION"
SYZSZHLD ,"  uxlst upr upr=SYZSZHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZHLD ,"hold ressource   "
SYZSZ010 ,"  uxlst upr upr=SYZSZ010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZ010 ,"Loader - RECEPTION - APNL"
SYZSZ020 ,"  uxlst upr upr=SYZSZ020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZ020 ,"Control & Normalisation - RECEPTION"
SYZSZ025 ,"  uxlst upr upr=SYZSZ025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZ025 ,"Post - RECEPTION - APNL"
SYZSZ030 ,"  uxlst upr upr=SYZSZ030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZ030 ,"Correction Adresses - RECEPTION -"
SYZSZ040 ,"  uxlst upr upr=SYZSZ040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZ040 ,"Alimentation - RECEPTION - APNL"
SYZSZRLS ,"  uxlst upr upr=SYZSZRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZRLS ,"Libére la ressource - RECEPTION"
SYZSZU89 ,"  uxlst upr upr=SYZSZU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSZU89 ,"Poste de fin - RECEPTION"
SYZRIALU09 ,"  uxlst upr upr=SYZRIALU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIALU09 ,"Poste de début - RMAN"
SYZRIAL00 ,"  uxlst upr upr=SYZRIAL00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIAL00 ,"RMAN - Purga Archive Log"
SYZRIAL10 ,"  uxlst upr upr=SYZRIAL10  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIAL10 ,"RMAN - Purga Archive Log"
SYZRIALU89 ,"  uxlst upr upr=SYZRIALU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIALU89 ,"Poste de fin - RMAN"
SYZRIALU09 ,"  uxlst upr upr=SYZRIALU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIALU09 ,"Poste de début - RMAN"
SYZRIAL00 ,"  uxlst upr upr=SYZRIAL00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIAL00 ,"RMAN - Purga Archive Log"
SYZRIAL10 ,"  uxlst upr upr=SYZRIAL10  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIAL10 ,"RMAN - Purga Archive Log"
SYZRIALU89 ,"  uxlst upr upr=SYZRIALU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZRIALU89 ,"Poste de fin - RMAN"
SYZSCU09 ,"  uxlst upr upr=SYZSCU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSCU09 ,"Poste de début - RECEPTION"
SYZSCHLD ,"  uxlst upr upr=SYZSCHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSCHLD ,"hold ressource   "
SYZSC010 ,"  uxlst upr upr=SYZSC010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSC010 ,"Loader - RECEPTION - ACNL"
SYZSC020 ,"  uxlst upr upr=SYZSC020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSC020 ,"Control & Normalisation - RECEPTION"
SYZSC025 ,"  uxlst upr upr=SYZSC025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSC025 ,"Post - RECEPTION - ACNL"
SYZSC030 ,"  uxlst upr upr=SYZSC030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSC030 ,"Correction Adresses - RECEPTION -"
SYZSC040 ,"  uxlst upr upr=SYZSC040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSC040 ,"Alimentation - RECEPTION - ACNL"
SYZSCRLS ,"  uxlst upr upr=SYZSCRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSCRLS ,"Libére la ressource - RECEPTION"
SYZSCU89 ,"  uxlst upr upr=SYZSCU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSCU89 ,"Poste de fin - RECEPTION"
SYZSGU09 ,"  uxlst upr upr=SYZSGU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSGU09 ,"Poste de début - Emission"
SYZSGC00 ,"  uxlst upr upr=SYZSGC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSGC00 ,"Collecte - Emission Reporting Journalier"
SYZSGM00 ,"  uxlst upr upr=SYZSGM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSGM00 ,"Mise a dispo - Emission"
SYZSGE00 ,"  uxlst upr upr=SYZSGE00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSGE00 ,"Transfert - Emission Reporting Journalier"
SYZSGU89 ,"  uxlst upr upr=SYZSGU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSGU89 ,"Poste de fin - Emission"
SYZSDU09 ,"  uxlst upr upr=SYZSDU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSDU09 ,"Poste de début - RECEPTION"
SYZSDHLD ,"  uxlst upr upr=SYZSDHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSDHLD ,"hold ressource   "
SYZSDREB ,"  uxlst upr upr=SYZSDREB  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSDREB ,"Rebond - RECEPTION - ACNL"
SYZSD010 ,"  uxlst upr upr=SYZSD010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSD010 ,"Loader - RECEPTION - ACNL"
SYZSD020 ,"  uxlst upr upr=SYZSD020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSD020 ,"Control & Normalisation - RECEPTION"
SYZSD025 ,"  uxlst upr upr=SYZSD025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSD025 ,"Post - RECEPTION - ACNL"
SYZSD030 ,"  uxlst upr upr=SYZSD030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSD030 ,"Correction Adresses - RECEPTION -"
SYZSD040 ,"  uxlst upr upr=SYZSD040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSD040 ,"Alimentation - RECEPTION - ACNL"
SYZSDRLS ,"  uxlst upr upr=SYZSDRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSDRLS ,"Libére la ressource - RECEPTION"
SYZSDU89 ,"  uxlst upr upr=SYZSDU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSDU89 ,"Poste de fin - RECEPTION"
SYZSJU09 ,"  uxlst upr upr=SYZSJU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJU09 ,"Poste de début - RECEPTION"
SYZSJHLD ,"  uxlst upr upr=SYZSJHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJHLD ,"hold ressource   "
SYZSJREB ,"  uxlst upr upr=SYZSJREB  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJREB ,"Rebond - RECEPTION - APAT"
SYZSJT00 ,"  uxlst upr upr=SYZSJT00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJT00 ,"Transfert - RECEPTION - APAT"
SYZSJC00 ,"  uxlst upr upr=SYZSJC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJC00 ,"Collecte - RECEPTION - APAT"
SYZSJM00 ,"  uxlst upr upr=SYZSJM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJM00 ,"Mise a dispo - RECEPTION"
SYZSJ010 ,"  uxlst upr upr=SYZSJ010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJ010 ,"Loader - RECEPTION - APAT"
SYZSJ020 ,"  uxlst upr upr=SYZSJ020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJ020 ,"Control & Normalisation - RECEPTION"
SYZSJ025 ,"  uxlst upr upr=SYZSJ025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJ025 ,"Post - RECEPTION - APAT"
SYZSJ030 ,"  uxlst upr upr=SYZSJ030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJ030 ,"Correction Adresses - RECEPTION -"
SYZSJ040 ,"  uxlst upr upr=SYZSJ040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJ040 ,"Alimentation - APAT - NEOLANE"
SYZSJRLS ,"  uxlst upr upr=SYZSJRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJRLS ,"Libère la ressource - RECEPTION"
SYZSJU89 ,"  uxlst upr upr=SYZSJU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSJU89 ,"Poste de fin - RECEPTION"
SYZSKU09 ,"  uxlst upr upr=SYZSKU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSKU09 ,"Poste de début - Emission"
SYZSKC00 ,"  uxlst upr upr=SYZSKC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSKC00 ,"Collecte - Emission Neolane Journalier"
SYZSKM00 ,"  uxlst upr upr=SYZSKM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSKM00 ,"Mise a dispo - Emission"
SYZSKE00 ,"  uxlst upr upr=SYZSKE00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSKE00 ,"Transfert - Emission Neolane Journalier"
SYZSKU89 ,"  uxlst upr upr=SYZSKU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSKU89 ,"Poste de fin - Emission"
SYZSHU09 ,"  uxlst upr upr=SYZSHU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSHU09 ,"Poste de début - Emission"
SYZSHC00 ,"  uxlst upr upr=SYZSHC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSHC00 ,"Collecte - Emission Reporting Journalier"
